px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
191.7	37.5601	2.19666	0.032087	-0.0982562	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.232877
193.481	37.2891	1.7852	-0.213773	-0.199302	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.240454
193.513	37.2978	2.10073	-0.198866	-0.181481	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.275237
195.966	37.3667	2.60373	0.15532	0.182207	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	1.65525
195.859	37.3604	1.91933	0.123523	0.163055	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.35953
197.722	37.7284	2.0489	0.27862	0.157421	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.012905
197.677	37.72	1.92809	0.280526	0.158913	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.431436
199.292	37.3314	1.25561	-0.212121	-0.262042	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	2.14955
199.32	37.3472	1.66602	-0.203327	-0.245339	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.389636
201.519	36.9785	2.57926	-0.127289	-0.0298426	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	1.1698
201.394	36.9593	1.81389	-0.212528	-0.100814	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	3.08575
202.965	36.4584	1.74501	-0.340312	-0.118338	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.00747666
202.924	36.4515	1.54098	-0.362337	-0.139487	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.334362
203.993	36.1794	1.05086	-0.297148	-0.0101255	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	0.323295
203.986	36.1708	1.52717	-0.284262	0.0069939	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	0.826916
